id,property,decision,brand,city,state,keys,guidance,broker,brokerContact,type,status,cfo,date,notes,address,yearBuilt,yearReno,owner,mgmtCo,structure,glLessor,glExpiry,glRent,roomsRev,fbRev,otherRev,totalRev,gop,noi,occ,adr,revpar,rgi,compSet,ourBid,bidDate,pipEst,debt,franchiseExp,ld,motivation,internalOwner,nextStep,driveUrl,vdrUrl,emailUrl
123,Hampton Inn & Suites Bridgeview Chicago,Pass,Hampton Inn,Bridgeview,IL,,,HREC,,Select-service,Tours upon request,,Jul 7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,Holiday Inn Express Crestwood,Pass,Holiday Inn Express,Crestwood,IL,123,,Marcus & Millichap,,Select-service,RFO (fully renovated),,Jun 11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,Holiday Inn Rock Island - Quad Cities,Pass,Holiday Inn,Rock Island,IL,,,HREC,,Full-service,Branding optionality,,Jul 2,Flag expires Mar 2027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,Fairfield Inn & Suites Indianapolis Fishers,Pass,Fairfield Inn,Fishers,IN,99,,Marcus & Millichap,,Select-service,RFO (renovated 2026),,Jun 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,Hampton Inn & Suites Kokomo,Pass,Hampton Inn,Kokomo,IN,,,CBRE,,Select-service,Tours available,,Jun 29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,Hampton Inn by Hilton Bedford,Pass,Hampton Inn,Bedford,IN,,,CBRE,,Select-service,CFO Jul 16,,Jul 7,2021 build,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,Holiday Inn Indianapolis Carmel,Pass,Holiday Inn,Carmel,IN,171,,Marcus & Millichap,,Full-service,RFO (conversion),,Jun 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,Home2 Suites Indianapolis Keystone Crossing,Pass,Home2 Suites,Indianapolis,IN,124,,Marcus & Millichap,,Extended-stay,RFO,,Jun 2,RevPAR ~$89 TTM Mar'26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,Staybridge Suites Indianapolis Downtown,Pass,Staybridge Suites,Indianapolis,IN,,,CBRE,,Extended-stay,Price reduced,,Jul 6,Lucas Oil Stadium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,TownePlace Suites Indianapolis Airport,Pass,TownePlace Suites,Indianapolis,IN,,,CBRE,,Extended-stay,CFO Jul 9,,Jul 1,2021 build,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,Fairfield Inn & Suites Hutchinson,Pass,Fairfield Inn,Hutchinson,KS,,,Leisure / Revere,,Select-service,Change-of-ownership PIP (minimal),,Jun 25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,TownePlace Suites Dodge City,Pass,TownePlace Suites,Dodge City,KS,120,"$10,700,000",Marcus & Millichap,,Extended-stay,New listing (~$89k/key),,Jun 9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,172-Key Redevelopment (Baton Rouge),Pass,Independent,Baton Rouge,LA,172,,NewGen Advisory,,Redevelopment,Price reduced,,Jun 9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,Confidential Listing (North Louisiana),Pass,Confidential,North Louisiana,LA,,,DSH Hotel Advisors,,Independent,Tours Jun 30-Jul 1,,Jun 19,Modern construction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,The Whitney Hotel,Pass,Independent,New Orleans,LA,,,HREC,,Boutique,Back on market / price cut / CFO,,Jul 9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,907 Main Hotel (Cambridge/Boston),Pass,Independent,Cambridge,MA,,,Avison Young,,Boutique,Marketing,,Jul 7,Tribute conversion; adj. MIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,Hotel Downstreet,Pass,Independent,North Adams,MA,90,,JLL,,Boutique,CFO Jun 17,,May 27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,Residence Inn West Springfield,Pass,Residence Inn,West Springfield,MA,,,HREC,,Extended-stay,Tours Jun 23-25,,Jun 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,Aloft by Marriott BWI Airport,Pass,Aloft,Linthicum Heights,MD,,,JLL,,Select-service,CFO Jun 19,,Jun 9,T3 rev +16.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,Courtyard Baltimore Downtown Inner Harbor,Pass,Courtyard,Baltimore,MD,,,Hunter,,Select-service,Tours Jul 21 / CFO Aug 4,,Jul 7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,EVEN Hotel Rockville - Washington DC,Pass,EVEN (IHG),Rockville,MD,,,JLL,,Select-service,CFO Jul 21,,Jul 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,Hampton Inn & Suites Arundel Mills/Baltimore,Pass,Hampton Inn,Baltimore,MD,,,JLL,,Select-service,CFO Jul 21 (was Jul 14),,Jul 9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,Solomons Inn Resort & Marina,Pass,Independent,Solomons,MD,,,JLL,,Resort,Tours Jul 14,,Jul 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,Upper Marlboro MD Hotel Dev Site,Pass,-,Upper Marlboro,MD,,,HREC,,Development site,Marketing,,Jun 4,"Suburban DC, Capital Beltway",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,Hilton Garden Inn Benton Harbor,Pass,Hilton Garden Inn,Benton Harbor,MI,106,,Sohi / Revere,,Select-service,Call for offers,,Jun 23,"Recently renovated, minimal PIP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,Off-Market Western Michigan Hotel,Pass,Independent,Western Michigan,MI,70+,,Sohi Group,,Independent,Off-market,,Jun 19,"14%+ cap, USDA eligible",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,Stefan's R&R Resort,Pass,Independent,Greenbush,MI,24,,Sohi Group,,Resort,Marketing (seller financing),,Jun 19,"Lake Huron, 300+ ft frontage",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,DoubleTree by Hilton Minneapolis - Park Place,Pass,DoubleTree,Minneapolis,MN,,,HREC,,Full-service,Tours available,,Jul 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,DoubleTree by Hilton St. Paul Downtown,Pass,DoubleTree,St. Paul,MN,,,HREC,,Full-service,Tours available,,Jul 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,InterContinental Saint Paul Riverfront,Pass,InterContinental,St. Paul,MN,,,HREC,,Full-service,Tours available,,Jul 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,avid hotel Roseville - Minneapolis North,Pass,avid,Roseville,MN,,,HREC,,Select-service,CFO Jul 16,,Jul 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,AC Hotel Kansas City Plaza / Westport,Pass,AC Hotel,Kansas City,MO,,,JLL,,Select-service,1st-round CFO Jul 10,,Jul 7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,DoubleTree by Hilton St. Louis Forest Park,Pass,DoubleTree,St. Louis,MO,219,,JLL,,Full-service,Investment opportunity,,Jun 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,Former Club Wyndham Branson at the Falls,Pass,Independent,Branson,MO,54 units,,Hilco Global,,Redevelopment,Bids due Jun 18,,Jun 15,MF/condo redev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,Staybridge Suites Columbia-Hwy 63 & I-70,Pass,Staybridge Suites,Columbia,MO,80,"$11,000,000",Marcus & Millichap,,Extended-stay,New listing,,Jun 26,RevPAR ~$121 TTM Apr'26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,Gulfport 3-Hotel Portfolio,Underwrite,Hampton / Home2 / SpringHill,Gulfport,MS,347,,HREC,Barry Swanson · (404) 626-4607 · bswanson@hrec.com,Portfolio (3),Marketing,—,Jun 9,"★ FLAG: OM Highlight #1 claims all 3 overperforming budget — 2025 P&Ls show all 3 MISSED: -$584,519 (-4.6%). 2026 budget $13.1M is +7.3% over 2025 ACTUAL. RGI falling at Hampton (-1.4%) & SpringHill (-3.6%); only Home2 gaining (+6.9%). Dec-25 rev -11% vs budget (Home2 -30%). NOI is post 3% mgmt + 4% reserve. At $39M: $112,392/key, 11.19% cap.","15580 / 15600 / 15610 Daniel Blvd, Gulfport, MS 39503",2014 / 2016 / 2019,Home2 2024 (confirm),Anchor Development LLC,Ascent Hospitality Mgmt (unencumbered),Leasehold,Harrison County School District (88.9 AC),"Aug 4, 2054 + (1) 25-yr option → 2079","$126,857 (1.0% of rev; CPI cap 5%)","$11,973,820",$0,"$283,242","$12,257,062","$5,862,296","$4,364,918",76.8%,$122.88,$94.35,124.2 (key-wtd),467 / 345 / 553,"$39,000,000",LOI drafted,,Unencumbered — seller debt not assumable,,,Unencumbered of mgmt & debt,AJ,Bhavnesh: tie down Gulfport. Ask HREC for 2026 YTD actuals.,,,
159,Hilton Jackson,Pass,Hilton,Jackson/Ridgeland,MS,,,HREC,,Full-service,Auction underway,,Jun 23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,Holiday Inn Meridian,Pass,Holiday Inn,Meridian,MS,121,,Hilco Global,,Full-service,CFO Jul 22,,Jun 24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,Marriott Portfolio - Hattiesburg (2 assets),Pass,Marriott,Hattiesburg,MS,,,Avison Young,,Portfolio,10+ cap,,Jul 7,Two Marriott-branded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,DoubleTree by Hilton Winston Salem University,Pass,DoubleTree,Winston Salem,NC,,,DDM Hotels,,Full-service,Final tours & offers due,,May 27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,Mountainaire Inn & Log Cabins (Blowing Rock),Pass,Independent,Blowing Rock,NC,17,,Hodges Ward Elliott,,Boutique,Marketing,,Jul 7,Blue Ridge Mtn portfolio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,The Mountaineer Inn Asheville,Pass,Independent,Asheville,NC,76,,DDM Hotels,,Independent,Back on market (special servicer),,Jul 6,Value-add reposition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,Courtyard Bismarck,Pass,Courtyard,Bismarck,ND,,,Alchemy REA,,Select-service,Offers due Jul 1,,Jun 27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,Holiday Inn Express Fargo - West Acres,Pass,Holiday Inn Express,Fargo,ND,,,HREC,,Select-service,CFO Jul 16,,Jul 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,Courtyard Montvale,Pass,Courtyard,Montvale,NJ,,,Hunter,,Select-service,CFO Jun 11,,Jun 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,Hilton Garden Inn Mount Holly / Westampton,Pass,Hilton Garden Inn,Mount Holly,NJ,113,,Avison Young,,Select-service,Marketing,,Jul 7,S NJ / Greater Philly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,Residence Inn Mount Laurel,Pass,Residence Inn,Mount Laurel,NJ,,,Alchemy REA,,Extended-stay,Tours Jun 16-17,,Jun 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,Residence Inn Neptune at Gateway Centre,Pass,Residence Inn,Neptune Twp,NJ,,,JLL,,Extended-stay,CFO Jul 14,,Jun 24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,Fairfield Inn & Suites Gallup,Pass,Fairfield Inn,Gallup,NM,,,Hunter,,Select-service,CFO Jun 18,,Jun 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,Hilton Garden Inn Albuquerque North Rio Rancho,Pass,Hilton Garden Inn,Rio Rancho,NM,,,Hunter,,Select-service,Just listed,,Jun 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,Courtyard by Marriott Reno,Pass,Courtyard,Reno,NV,,,JLL,,Select-service,CFO Jul 17,,Jul 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,Extended-Stay Dev Site Latham (Albany),Pass,-,Latham,NY,,,HREC,,Development site,Offering,,Jun 1,Albany Airport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,Holiday Inn Express Hauppauge - Long Island,Pass,Holiday Inn Express,Hauppauge,NY,,,CBRE,,Select-service,CFO Jul 9,,Jul 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,Home2 Suites Rochester / Greece,Pass,Home2 Suites,Rochester,NY,,,Avison Young,,Extended-stay,Marketing,,May 29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,The Dorm Hotel,Pass,Independent,Ithaca,NY,,,JLL,,Boutique,CFO Jun 5,,May 28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,The Lux Hotel & Conf Center (Ascend),Pass,Ascend Collection,,NY,,,Hunter,,Full-service,Auction / tours Jun 24-25,,Jun 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,Westgate Hotel New York Grand Central,Pass,Independent,New York,NY,,,Avison Young,,Boutique,Marketing,,Jul 7,Unencumbered; hotel or resi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,Hampton Inn & Suites Columbus Scioto Downs,Pass,Hampton Inn,Lockbourne,OH,,,HREC,,Select-service,CFO Jun 10,,Jun 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,Homewood Suites Dayton South,Pass,Homewood Suites,Miamisburg,OH,96,,Hunter,,Extended-stay,Just listed,,Jul 7,I-75/I-675 interchange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,Staybridge Suites Columbus-Dublin,Pass,Staybridge Suites,Dublin,OH,,,CBRE,,Extended-stay,Marketing,,Jun 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,Embassy Suites OKC Will Rogers Airport,Pass,Embassy Suites,Oklahoma City,OK,,,HREC,,Full-service,Tours available,,Jul 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,Hampton Inn Tulsa,Pass,Hampton Inn,Tulsa,OK,70,"$5,750,000",Hotel Brokers of America,,Select-service,Marketing (~10% cap),,Jun 24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,Fairfield Pittsburgh Airport / Robinson Twp,Pass,Fairfield Inn,Robinson Twp,PA,,,JLL,,Select-service,CFO Jul 21 (was Jul 14),,Jul 9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,Holiday Inn Harrisburg East,Pass,Holiday Inn,Middletown,PA,,,CBRE,,Full-service,Receivership / tours Jul 21,,Jul 9,Brand & mgmt unencumbered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,Red Lion Hotel Harrisburg Hershey,Pass,Red Lion,Harrisburg,PA,,"$14,000,000",Avison Young,,Full-service,Back on market,,Jun 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,Spark by Hilton Chocolate Avenue Hershey,Pass,Spark by Hilton,Hershey,PA,,,Avison Young,,Economy,Marketing,,May 28,Apr rev +90% YoY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,The Lodge at Split Rock Resort,Pass,Independent,Poconos,PA,50,"$11,000,000 (~$220k/key)",Crexi / Sarhan,,Resort,Marketing,,Jul 9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,Charleston Dev Opp - 431 Meeting St,Pass,-,Charleston,SC,250,,CBRE,,Development site,Entitled 250 hotel units,,Jun 9,Historic District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,Unencumbered Hotel Site N Charleston (WaterWalk),Pass,-,North Charleston,SC,,,HREC,,Development site,CFO,,Jun 15,Approved for WaterWalk by Wyndham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,3-Unit Cabin Portfolio Sevierville,Pass,Independent,Sevierville,TN,3 units,"$1,950,000",PWA / Revere,,Cabins/STR,Just listed,,May 27,Newer construction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,DoubleTree by Hilton Suites Nashville Airport,Pass,DoubleTree,Nashville,TN,,,HREC,,Full-service,Hilton PIP release Jul 29; more tours,,Jul 7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,Pre-Approved Hotel Dev Site Gallatin,Pass,-,Gallatin,TN,,,HREC,,Development site,Offering,,Jun 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,Courtyard Dallas Lewisville,Pass,Courtyard,Lewisville,TX,,,HREC (Crexi),,Select-service,Auction / tours next wk,,Jul 9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,Courtyard Killeen,Pass,Courtyard,Killeen,TX,,,Hotel Brokers of America,,Select-service,For sale,,Jun 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,Courtyard by Marriott Dallas Addison/Midway,Pass,Courtyard,Addison,TX,,,MMI / Revere,,Select-service,Auction Jun 8-10,,Jun 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,Crowne Plaza Houston Medical Center-Galleria,Pass,Crowne Plaza,Houston,TX,,,Alchemy REA,,Full-service,Offers due Jun 29,,Jun 24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,Crowne Plaza by IHG Downtown Dallas,Pass,Crowne Plaza,Dallas,TX,,,Hotel Brokers of America,,Full-service,Marketing,,Jun 8,Dallas skyline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,Dallas Premium Select Service Portfolio,Pass,Marriott/other,Dallas,TX,,,MMI / Revere,,Portfolio,CFO Jun 19,,Jun 16,Premium select-service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,DoubleTree Houston Bush Airport,Pass,DoubleTree,Houston,TX,,,Alchemy REA,,Full-service,Offers due Jul 9,,Jun 30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,DoubleTree Suites Houston Galleria,Pass,DoubleTree,Houston,TX,,,Alchemy REA,,Extended-stay,Offers due Jun 22,,Jun 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,Hampton Inn & Suites Bay City,Pass,Hampton Inn,Bay City,TX,86,"$9,400,000",Marcus & Millichap,,Select-service,New listing,,Jun 9,Major reno 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,Hampton Inn & Suites Houston East Beltway 8,Pass,Hampton Inn,Houston,TX,,,HVS,,Select-service,New listing,,Jul 1,"2021 build, no PIP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,Hampton Inn & Suites by Hilton Galveston,Pass,Hampton Inn,Galveston,TX,,,HVS,,Select-service,New listing,,Jul 2,"Renovated, prime beach",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,Hampton Inn Houston I-10 East,Pass,Hampton Inn,Houston,TX,89,"$7,500,000",Marcus & Millichap,,Select-service,Updated pricing $7.5M,,Jun 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,Home2 Suites Fort Worth SW Cityview,Pass,Home2 Suites,Fort Worth,TX,,,HVS,,Extended-stay,Reduced pricing guidance,,Jun 22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,Homewood Suites Houston West - Energy Corridor,Pass,Homewood Suites,Houston,TX,,,HVS,,Extended-stay,Minor PIP confirmed,,Jul 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,Hotel Dilley Grand,Pass,Independent,Dilley,TX,20,"$725,000",Marcus & Millichap,,Independent,Price reduced (seller fin.),,Jun 16,Fully renovated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,Hyatt Place Houston Sugar Land,Pass,Hyatt Place,Sugar Land,TX,,,JLL,,Select-service,Tours Jun 16,,Jun 12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,Mystic Quarry RV & Cabins Resort,Pass,Independent,Canyon Lake,TX,,,Avison Young,,Resort,Property tours Aug 5-6,,Jun 23,RV park + lodging campground,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,Rayburn Resort & Marina,Pass,Independent,Lake Sam Rayburn,TX,111,$7.4M+ NOI ref,Hunter,,Resort,Tours available,,Jun 30,"600 ac, 27-hole golf, 120-slip marina",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,Sheraton Houston Bush Airport,Pass,Sheraton,Houston,TX,,,Alchemy REA,,Full-service,Bidding opened Jun 22,,Jun 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,SpringHill Suites Houston NASA/Webster,Pass,SpringHill Suites,Webster,TX,121,"$14,000,000",Marcus & Millichap,,Select-service,New listing,,Jun 5,RevPAR ~$95 YTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,avid hotel Beaumont,Pass,avid,Beaumont,TX,95,$2.45M rooms rev,HVS,,Select-service,Marketing,,Jun 15,Updated DD docs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,Halifax / Utah Portfolio,Pass,Multiple,,UT,,,Allred Hotel Group,,Portfolio,Price reduction / seller fin.,,Jun 23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,Scenic View Inn & Arches Hut,Pass,Independent,,UT,,,NewGen Advisory,,Independent,Marketing,,Jun 2,3 consecutive months rev growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,Martha Washington Inn & Spa,Pass,Independent,Abingdon,VA,63,,Avison Young,,Boutique,Tours,,Jun 10,Fee simple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,Four Hilton & Marriott Hotels (VA & NC),Pass,Hilton/Marriott,,VA/NC,,,Alchemy REA,,Portfolio,Institutionally owned,,May 28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,Holiday Inn Riverfront Milwaukee,Pass,Holiday Inn,Milwaukee,WI,,,Alchemy REA,,Full-service,Tours Jun 29-30,,Jun 25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,Tru by Hilton Madison West,Pass,Tru,Madison,WI,,,CBRE,,Select-service,CFO Jul 1,,Jun 22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,TownePlace Suites Parkersburg,Pass,TownePlace Suites,Parkersburg,WV,,,CBRE,,Extended-stay,Marketing,,Jun 9,Sole ext-stay Marriott in mkt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,Tru by Hilton Martinsburg,Pass,Tru,Martinsburg,WV,,"$13,500,000",Avison Young,,Select-service,Marketing,,Jul 1,"New build, minimal PIP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,Bayside Inn,Pass,Independent,,,,"~$21,000,000 (guidance)",Marcus & Millichap / Hunter,,Resort/Independent,AJ evaluating,,Jun 12,Leisure operator + Hilton brand potential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,Holiday Inn Express + Comfort Inn (2-property),Pass,IHG / Choice,,,,$5M rev / $1.7M NOI,Leisure / Revere,,Portfolio,Marketing,,Jul 1,Fee simple; minimal PIP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,MainStay Suites Columbus North,Pass,MainStay Suites,Columbus,,,,Avison Young,,Extended-stay,CFO Jun 26,,Jun 23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,Marriott/Hilton Auctions (TX & CA),Pass,Marriott/Hilton,,,,,HREC (Crexi),,Auction,New listing,,Jun 30,Multi-property auction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,Multi-Region Marriott/Hilton/Choice Auctions,Pass,Marriott/Hilton/Choice,,,,,HREC / RealInsight,,Auction,New listing,,Jun 30,Select-service auctions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,Best Western Plus Mobile Inn & Suites,Pass,Best Western Plus,Mobile,AL,,,HREC,,Select-service,New data available,,Jun 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,Best Western Plus JFK Inn & Suites,Pass,Best Western Plus,North Little Rock,AR,65,"$4,800,000",Marcus & Millichap,,Select-service,New listing,,May 29,+26.5% RevPAR TTM Mar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,Best Western Plus Searcy Inn,Pass,Best Western Plus,Searcy,AR,71,"$5,500,000",Marcus & Millichap,,Select-service,Updated financials — 10.04% T12 cap,,May 28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,Country Inn & Suites by Radisson Conway,Pass,Country Inn & Suites,Conway,AR,67,"$4,200,000",Marcus & Millichap,,Select-service,New listing (~$63k/key),,Jun 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,Days Inn by Wyndham Show Low,Pass,Days Inn,Show Low,AZ,122,,NewGen Advisory,,Economy,Marketing (financing in place),,Jun 15,"AZ White Mountains, +7.5% RevPAR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,SureStay by Best Western Downtown Mesa,Pass,SureStay,Mesa,AZ,64,,NewGen Advisory,,Economy,Marketing,,Jun 11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,La Quinta Bakersfield,Pass,La Quinta,Bakersfield,CA,65,"$8,500,000",Hotel Brokers of America,,Select-service,Marketing,,Jun 24,RevPAR ~$93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,La Quinta Inn & Suites Bakersfield North,Pass,La Quinta,Bakersfield,CA,,,Hotel Brokers of America,,Select-service,"Marketing (3.76x, min PIP)",,May 27,Airport property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,Best Western Plus Exec Residency Fillmore Inn,Pass,Best Western Plus,Colorado Springs,CO,,,MMI / Revere,,Extended-stay,Updated pricing,,Jul 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,La Quinta Inn & Suites Limon,Pass,La Quinta,Limon,CO,,,HREC,,Select-service,New listing,,Jun 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,La Quinta Inn Denver Westminster,Pass,La Quinta,Westminster,CO,,,HREC,,Select-service,Just listed,,Jul 9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,Suburban Studios Denver Arvada,Pass,Suburban Studios,Arvada,CO,,,JLL,,Extended-stay,Auction Jun 22-24,,Jun 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,At Home Inn Pensacola,Pass,Independent,Pensacola,FL,104,"$6,500,000",Kabani Hotel Group,,Economy,CFO Jul 16 (3.25x RRM),,Jul 7,"Built 1966, 4.07 ac",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,Baymont Orlando East,Pass,Baymont,Orlando,FL,118,,Kabani Hotel Group,,Economy,For sale,,Jun 15,"1972 build, renovated",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,Country Inn & Suites Midway - Tallahassee W,Pass,Country Inn & Suites,Midway,FL,53,"$4,295,000",DSH Hotel Advisors,,Select-service,Price reduced (3.75x RRM),,Jun 22,5.1 ac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,Courtyard by Marriott Tampa Downtown,Pass,Courtyard,Tampa,FL,,,JLL,,Select-service,CFO Jul 10,,Jun 23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
